book_number,chapter_number,prefix,normalized_text,word_count
01,B01,Matthew,|अब्राहम|की|सन्तान|दाऊद|की|सन्तान|यीशु|मसीह|की|वंशावली|,12
01,B01,Matthew,|अब्राहम|से|इसहाक|उत्पन्न|हुआ|इसहाक|से|याकूब|उत्पन्न|हुआ|और|याकूब|से|यहूदा|और|उसके|भाई|उत्पन्न|हुए|,21
01,B01,Matthew,|यहूदा|और|तामार|से|पेरेस|व|जेरह|उत्पन्न|हुए|और|पेरेस|से|हेस्रोन|उत्पन्न|हुआ|और|हेस्रोन|से|एराम|उत्पन्न|हुआ|,23
01,B01,Matthew,|एराम|से|अम्मीनादाब|उत्पन्न|हुआ|और|अम्मीनादाब|से|नहशोन|और|नहशोन|से|सलमोन|उत्पन्न|हुआ|,17
01,B01,Matthew,|सलमोन|और|राहाब|से|बोअज|उत्पन्न|हुआ|और|बोअज|और|रूत|से|ओबेद|उत्पन्न|हुआ|और|ओबेद|से|यिशै|उत्पन्न|हुआ|,23
01,B01,Matthew,|और|यिशै|से|दाऊद|राजा|उत्पन्न|हुआ|,9
01,B01,Matthew,|और|दाऊद|से|सुलैमान|उस|स्त्री|से|उत्पन्न|हुआ|जो|पहले|ऊरिय्याह|की|पत्नी|थी|,17
01,B01,Matthew,|सुलैमान|से|रहबाम|उत्पन्न|हुआ|और|रहबाम|से|अबिय्याह|उत्पन्न|हुआ|और|अबिय्याह|से|आसा|उत्पन्न|हुआ|,19
01,B01,Matthew,|आसा|से|यहोशाफात|उत्पन्न|हुआ|और|यहोशाफात|से|योराम|उत्पन्न|हुआ|और|योराम|से|उज्जियाह|उत्पन्न|हुआ|,19
01,B01,Matthew,|उज्जियाह|से|योताम|उत्पन्न|हुआ|योताम|से|आहाज|उत्पन्न|हुआ|और|आहाज|से|हिजकिय्याह|उत्पन्न|हुआ|,18
01,B01,Matthew,|हिजकिय्याह|से|मनश्शे|उत्पन्न|हुआ|मनश्शे|से|आमोन|उत्पन्न|हुआ|और|आमोन|से|योशिय्याह|उत्पन्न|हुआ|,18
01,B01,Matthew,|और|बन्दी|होकर|बाबेल|जाने|के|समय|में|योशिय्याह|से|यकुन्याह|और|उसके|भाई|उत्पन्न|हुए|,18
01,B01,Matthew,|बन्दी|होकर|बाबेल|पहुँचाए|जाने|के|बाद|यकुन्याह|से|शालतीएल|उत्पन्न|हुआ|और|शालतीएल|से|जरुब्बाबेल|उत्पन्न|हुआ|,20
01,B01,Matthew,|जरुब्बाबेल|से|अबीहूद|उत्पन्न|हुआ|अबीहूद|से|एलयाकीम|उत्पन्न|हुआ|और|एलयाकीम|से|अजोर|उत्पन्न|हुआ|,18
01,B01,Matthew,|अजोर|से|सादोक|उत्पन्न|हुआ|सादोक|से|अखीम|उत्पन्न|हुआ|और|अखीम|से|एलीहूद|उत्पन्न|हुआ|,18
01,B01,Matthew,|एलीहूद|से|एलीआजर|उत्पन्न|हुआ|एलीआजर|से|मत्तान|उत्पन्न|हुआ|और|मत्तान|से|याकूब|उत्पन्न|हुआ|,18
01,B01,Matthew,|याकूब|से|यूसुफ|उत्पन्न|हुआ|जो|मरियम|का|पति|था|और|मरियम|से|यीशु|उत्पन्न|हुआ|जो|मसीह|कहलाता|है|,22
01,B01,Matthew,|अब्राहम|से|दाऊद|तक|सब|चौदह|पीढ़ी|हुई|और|दाऊद|से|बाबेल|को|बन्दी|होकर|पहुँचाए|जाने|तक|चौदह|पीढ़ी|और|बन्दी|होकर|बाबेल|को|पहुँचाए|जाने|के|समय|से|लेकर|मसीह|तक|चौदह|पीढ़ी|हुई|,38
01,B01,Matthew,|अब|यीशु|मसीह|का|जन्म|इस|प्रकार|से|हुआ|कि|जब|उसकी|माता|मरियम|की|मंगनी|यूसुफ|के|साथ|हो|गई|तो|उनके|इकट्ठे|होने|के|पहले|से|वह|पवित्र|आत्मा|की|ओर|से|गर्भवती|पाई|गई|,39
01,B01,Matthew,|अतः|उसके|पति|यूसुफ|ने|जो|धर्मी|था|और|उसे|बदनाम|करना|नहीं|चाहता|था|उसे|चुपके|से|त्याग|देने|की|मनसा|की|,25
01,B01,Matthew,|जब|वह|इन|बातों|की|सोच|ही|में|था|तो|परमेश्वर|का|स्वर्गदूत|उसे|स्वप्न|में|दिखाई|देकर|कहने|लगा|हे|यूसुफ|,24
01,B01,Matthew,|दाऊद|की|सन्तान|तू|अपनी|पत्नी|मरियम|को|अपने|यहाँ|ले|आने|से|मत|डर|क्योंकि|जो|उसके|गर्भ|में|है|वह|पवित्र|आत्मा|की|ओर|से|है|,30
01,B01,Matthew,|वह|पुत्र|जनेगी|और|तू|उसका|नाम|यीशु|रखना|क्योंकि|वह|अपने|लोगों|का|उनके|पापों|से|उद्धार|करेगा|,21
01,B01,Matthew,|यह|सब|कुछ|इसलिए|हुआ|कि|जो|वचन|प्रभु|ने|भविष्यद्वक्ता|के|द्वारा|कहा|था|वह|पूरा|हो|देखो|एक|कुँवारी|गर्भवती|होगी|और|एक|पुत्र|जनेगी|और|उसका|नाम|इम्मानुएल|रखा|जाएगा|जिसका|अर्थ|है|परमेश्वर|हमारे|साथ|,41
01,B01,Matthew,|तब|यूसुफ|नींद|से|जागकर|परमेश्वर|के|दूत|की|आज्ञा|अनुसार|अपनी|पत्नी|को|अपने|यहाँ|ले|आया|,20
01,B01,Matthew,|और|जब|तक|वह|पुत्र|न|जनी|तब|तक|वह|उसके|पास|न|गया|और|उसने|उसका|नाम|यीशु|रखा|,22
01,B02,Mark,|परमेश्वर|के|पुत्र|यीशु|मसीह|के|सुसमाचार|का|आरम्भ|,11
01,B02,Mark,|जैसे|यशायाह|भविष्यद्वक्ता|की|पुस्तक|में|लिखा|है|देख|मैं|अपने|दूत|को|तेरे|आगे|भेजता|हूँ|जो|तेरे|लिये|मार्ग|सुधारेगा|,24
01,B02,Mark,|जंगल|में|एक|पुकारनेवाले|का|शब्द|हो|रहा|है|कि|प्रभु|का|मार्ग|तैयार|करो|और|उसकी|सड़कें|सीधी|करो|,22
01,B02,Mark,|यूहन्ना|आया|जो|जंगल|में|बपतिस्मा|देता|और|पापों|की|क्षमा|के|लिये|मन|फिराव|के|बपतिस्मा|का|प्रचार|करता|था|,23
01,B02,Mark,|सारे|यहूदिया|के|और|यरूशलेम|के|सब|रहनेवाले|निकलकर|उसके|पास|गए|और|अपने|पापों|को|मानकर|यरदन|नदी|में|उससे|बपतिस्मा|लिया|,25
01,B02,Mark,|यूहन्ना|ऊँट|के|रोम|का|वस्त्र|पहने|और|अपनी|कमर|में|चमड़े|का|कमरबन्द|बाँधे|रहता|था|और|टिड्डियाँ|और|वनमधु|खाया|करता|था|,26
01,B02,Mark,|और|यह|प्रचार|करता|था|मेरे|बाद|वह|आनेवाला|है|जो|मुझसे|शक्तिशाली|है|मैं|इस|योग्य|नहीं|कि|झुककर|उसके|जूतों|का|फीता|खोलूँ|,27
01,B02,Mark,|मैंने|तो|तुम्हें|पानी|से|बपतिस्मा|दिया|है|पर|वह|तुम्हें|पवित्र|आत्मा|से|बपतिस्मा|देगा|,18
01,B02,Mark,|उन|दिनों|में|यीशु|ने|गलील|के|नासरत|से|आकर|यरदन|में|यूहन्ना|से|बपतिस्मा|लिया|,18
01,B02,Mark,|और|जब|वह|पानी|से|निकलकर|ऊपर|आया|तो|तुरन्त|उसने|आकाश|को|खुलते|और|आत्मा|को|कबूतर|के|रूप|में|अपने|ऊपर|उतरते|देखा|,27
01,B02,Mark,|और|यह|आकाशवाणी|हुई|तू|मेरा|प्रिय|पुत्र|है|तुझ|से|मैं|प्रसन्न|हूँ|,16
01,B02,Mark,|तब|आत्मा|ने|तुरन्त|उसको|जंगल|की|ओर|भेजा|,11
